date,btc_close,btc_volume,fear_greed_value,fear_greed_label,btc_daily_return,positive_return,is_weekend
2025-04-01,85158.34,20190.39697,34,Fear,3.1596967704788925,1,False
2025-04-02,82516.29,39931.457,44,Fear,-3.10251468030025,0,False
2025-04-03,83213.09,27337.84135,25,Extreme Fear,0.8444393222235336,1,False
2025-04-04,83889.87,32915.53976,28,Fear,0.813309540602325,1,False
2025-04-05,83537.99,9360.40468,30,Fear,-0.4194546969735313,0,True
2025-04-06,78430.0,27942.71436,34,Fear,-6.1145713465215135,0,True
2025-04-07,79163.24,78387.53089,23,Extreme Fear,0.9348973607038236,1,False
2025-04-08,76322.42,35317.32063,24,Extreme Fear,-3.588559538492875,0,False
2025-04-09,82615.22,75488.28772,18,Extreme Fear,8.24502158081466,1,False
2025-04-10,79607.3,33284.80718,39,Fear,-3.6408787630172745,0,False
2025-04-11,83423.84,34435.43797,25,Extreme Fear,4.7942085713244875,1,False
2025-04-12,85276.9,18470.74437,43,Fear,2.2212595344448305,1,True
2025-04-13,83760.0,24680.04181,45,Fear,-1.7787935537056265,0,True
2025-04-14,84591.58,28659.09348,31,Fear,0.9928127984718316,1,False
2025-04-15,83643.99,20910.99528,38,Fear,-1.1201942320973268,0,False
2025-04-16,84030.38,20867.24519,29,Fear,0.46194592103987464,1,False
2025-04-17,84947.91,13728.84772,30,Fear,1.0919027142326287,1,False
2025-04-18,84474.69,6529.96315,33,Fear,-0.5570707978571843,0,False
2025-04-19,85077.01,9666.58153,32,Fear,0.7130183016948566,1,True
2025-04-20,85179.24,8091.67725,37,Fear,0.12016172171542827,1,True
2025-04-21,87516.23,31773.37262,39,Fear,2.743614523914495,1,False
2025-04-22,93442.99,43872.74705,47,Neutral,6.7721838566400905,1,False
2025-04-23,93691.08,27404.16808,72,Greed,0.26549878166355345,1,False
2025-04-24,93980.47,19497.06071,63,Greed,0.30887678955136,1,False
2025-04-25,94638.68,27500.66648,60,Greed,0.7003689170739236,1,False
2025-04-26,94628.0,9415.06875,65,Greed,-0.01128502637609552,0,True
2025-04-27,93749.3,11162.841,61,Greed,-0.9285835059390402,0,True
2025-04-28,95011.18,22157.53351,54,Neutral,1.3460153835815225,1,False
2025-04-29,94256.82,16955.3402,60,Greed,-0.7939697201950202,0,False
2025-04-30,94172.0,17661.2751,56,Greed,-0.08998818334843284,0,False
2025-05-01,96489.91,21380.45343,53,Neutral,2.4613579407891883,1,False
2025-05-02,96887.14,14905.74811,67,Greed,0.4116803508263045,1,False
2025-05-03,95856.42,9723.34838,65,Greed,-1.0638357164841517,0,True
2025-05-04,94277.62,11036.38342,64,Greed,-1.6470466975503584,0,True
2025-05-05,94733.68,17251.18189,52,Neutral,0.48374152847727725,1,False
2025-05-06,96834.02,16122.64513,59,Greed,2.2170995574119168,1,False
2025-05-07,97030.5,16644.83854,67,Greed,0.20290389679165077,1,False
2025-05-08,103261.6,34962.02847,65,Greed,6.421795208723036,1,False
2025-05-09,102971.99,27617.39907,73,Greed,-0.2804624371499198,0,False
2025-05-10,104809.53,15324.78611,70,Greed,1.7845046988020696,1,True
2025-05-11,104118.0,17987.12197,70,Greed,-0.6597968715249425,0,True
2025-05-12,102791.32,31272.77792,70,Greed,-1.274208110028996,0,False
2025-05-13,104103.72,21253.42409,70,Greed,1.2767615008738131,1,False
2025-05-14,103507.82,16452.9081,73,Greed,-0.5724099004339123,0,False
2025-05-15,103763.71,17998.98604,70,Greed,0.24721803627976158,1,False
2025-05-16,103463.9,15683.88024,71,Greed,-0.2889353127408567,0,False
2025-05-17,103126.65,11250.89622,74,Greed,-0.325959102643536,0,True
2025-05-18,106454.26,21599.98726,74,Greed,3.22672170578604,1,True
2025-05-19,105573.74,30260.03524,74,Greed,-0.8271345834351629,0,False
2025-05-20,106849.99,23705.48275,71,Greed,1.2088706907607882,1,False
2025-05-21,109643.99,45531.04035,70,Greed,2.614880918566298,1,False
2025-05-22,111696.21,31630.77313,72,Greed,1.8717122570968137,1,False
2025-05-23,107318.3,31737.72309,78,Extreme Greed,-3.919479452346686,0,False
2025-05-24,107761.91,16782.53129,66,Greed,0.4133591381898505,1,True
2025-05-25,109004.19,17710.04695,74,Greed,1.1528006509906819,1,True
2025-05-26,109434.79,14649.11593,73,Greed,0.39503068643507167,1,False
2025-05-27,108938.17,21276.65635,74,Greed,-0.4538044985511469,0,False
2025-05-28,107781.78,15633.78829,71,Greed,-1.0615103962183348,0,False
2025-05-29,105589.75,19834.70116,74,Greed,-2.033766746104948,0,False
2025-05-30,103985.48,23706.49799,60,Greed,-1.5193425498213675,0,False
2025-05-31,104591.88,11289.35922,50,Neutral,0.5831583409529939,1,True
2025-06-01,105642.93,9709.70006,56,Greed,1.00490592577549,1,True
2025-06-02,105857.99,13453.98813,64,Greed,0.20357254385126033,1,False
2025-06-03,105376.89,13259.52634,64,Greed,-0.4544767948078454,0,False
2025-06-04,104696.86,14034.89482,62,Greed,-0.645331248625769,0,False
2025-06-05,101508.68,22321.50154,57,Greed,-3.0451534076571196,0,False
